총점,회사,날짜,별점,요약,장점,단점,경영진에게
1.8,(주)엔에스브이,2022. 09,1점,"""상장회사임 밸브 회사로써 나름 인지도가있음
창업자가 새로운 경영진이 들어온상태임""","밸브회사로써 나름 인지도가있음
매출도 적은편은 아님
인원수 100명이상임","부서간에 의사소통이 않되어있음
서로 자기일만함
시스템이 미흡함","직원들 복지에 신경 써줬으면 좋겠음
통근버스도 늘려줬으면 좋겠음"
1.8,(주)엔에스브이,2022. 04,3점,"""적당하게 일하면서 적당하게 야근하는 중소기업..""","연차를 사용함에 있어서 크게 눈치를 보는 일은 없음.
야근을 강요하지는 않지만 설계 납기 때문에 야근할 수 있음..","도무지 체계라고는 없는거 같은 마구잡이식...최종결정권자에 의해 모든것이 정해짐
제일중요한게 복지나 급여인데 복지는 뭐가 있는건지.. 모르겠고 급여는 포괄인 것 제외하면 그냥 뭐,, 평균정도나 될까싶다..","회사 발전을 위한다면 뭐가 제일 중요한지....
생각은 해보시길 바랍니다..."
1.8,(주)엔에스브이,2021. 06,3점,"""사장님의 마인드가 개인보단 우리 라는 개념이 강해서 단체활동 회식이 많음.""",연차제도가 있어서 눈치 안보고 쓸 수 있음. 상여금 일년에 5번정도 있음. 일을 다양하게 여러가지로 배울 수 있음. 건물이 깨끗함.,연봉이 높은듯하지만 일의 업무량이나 시간으로 보아 그렇게 많은 편도 아님. 앞서말했듯이 우리라는 개념이 강해 단체활동이 많아 힘듬,일의 업무량을 줄여줬으면. 잡일이 너무 많음.
1.8,(주)엔에스브이,2021. 04,1점,"""발전할수없었던 회사. 지금도 있는지 모르겠지만 운영하는것을 보며 안타까운 회사""",주식상장되었던 회사라 여러가지를 배울수있었음. 그리고 여러 이슈들이 있어서 대응능력도 올라감,주식상장이 폐지됨. 그래서 빛 독촉에 시달림. 복지도 나빠짐. 현재.기업이 존재하는지 의문,열심히 노력하는.자와 노력하지않는자를 잘 모르는듯. 그래서 회사가 만약 운영이 되고있다면 인재를 잘 알아봤으면 좋겠음
1.8,(주)엔에스브이,2021. 02,2점,"""누굴 위한 회사인지 모름.
미래가 기대가 안됨.""","사람들은 좋으나 미래가 없음.
경력 쌓아서 다른데 이직해야됨.","그냥 아무런 생각없이 다니는 사람 너무 많음.
불확실한 미래로 사람들이 애사심이 없음.","직원들 신경 좀 써주세요.
미래를 보장 해주세요."
1.8,(주)엔에스브이,2022. 09,1점,"""상장회사임 밸브 회사로써 나름 인지도가있음
창업자가 새로운 경영진이 들어온상태임""","밸브회사로써 나름 인지도가있음
매출도 적은편은 아님
인원수 100명이상임","부서간에 의사소통이 않되어있음
서로 자기일만함
시스템이 미흡함","직원들 복지에 신경 써줬으면 좋겠음
통근버스도 늘려줬으면 좋겠음"
1.8,(주)엔에스브이,2022. 04,3점,"""적당하게 일하면서 적당하게 야근하는 중소기업..""","연차를 사용함에 있어서 크게 눈치를 보는 일은 없음.
야근을 강요하지는 않지만 설계 납기 때문에 야근할 수 있음..","도무지 체계라고는 없는거 같은 마구잡이식...최종결정권자에 의해 모든것이 정해짐
제일중요한게 복지나 급여인데 복지는 뭐가 있는건지.. 모르겠고 급여는 포괄인 것 제외하면 그냥 뭐,, 평균정도나 될까싶다..","회사 발전을 위한다면 뭐가 제일 중요한지....
생각은 해보시길 바랍니다..."
1.8,(주)엔에스브이,2021. 06,3점,"""사장님의 마인드가 개인보단 우리 라는 개념이 강해서 단체활동 회식이 많음.""",연차제도가 있어서 눈치 안보고 쓸 수 있음. 상여금 일년에 5번정도 있음. 일을 다양하게 여러가지로 배울 수 있음. 건물이 깨끗함.,연봉이 높은듯하지만 일의 업무량이나 시간으로 보아 그렇게 많은 편도 아님. 앞서말했듯이 우리라는 개념이 강해 단체활동이 많아 힘듬,일의 업무량을 줄여줬으면. 잡일이 너무 많음.
1.8,(주)엔에스브이,2021. 04,1점,"""발전할수없었던 회사. 지금도 있는지 모르겠지만 운영하는것을 보며 안타까운 회사""",주식상장되었던 회사라 여러가지를 배울수있었음. 그리고 여러 이슈들이 있어서 대응능력도 올라감,주식상장이 폐지됨. 그래서 빛 독촉에 시달림. 복지도 나빠짐. 현재.기업이 존재하는지 의문,열심히 노력하는.자와 노력하지않는자를 잘 모르는듯. 그래서 회사가 만약 운영이 되고있다면 인재를 잘 알아봤으면 좋겠음
1.8,(주)엔에스브이,2021. 02,2점,"""누굴 위한 회사인지 모름.
미래가 기대가 안됨.""","사람들은 좋으나 미래가 없음.
경력 쌓아서 다른데 이직해야됨.","그냥 아무런 생각없이 다니는 사람 너무 많음.
불확실한 미래로 사람들이 애사심이 없음.","직원들 신경 좀 써주세요.
미래를 보장 해주세요."
1.8,(주)엔에스브이,2020. 10,4점,"""나름 중소기업에서 괜찮았음 나름 다니만함 코스닥 상장사임.ㅎㅎㅎ""","인정받으면 다닐만 함 발전,epc 업무 배울수 있고, 밸브업계에서 잘 클 수 있으며,
타 경쟁업체보다 연봉이나 대우가 중소기업 치고 나쁘지가 않다","하드한 업무가 많다. 업무분장이 되지 않아 일이 많을때는 너무 힘듬
또한 부서관 협력은 잘되나 개개인의 능력에 따라 결과가 상이하게 나오는 경향이 있음
개인의 능력에 따라 성과도 비례하게 차이난다.","복지가 나름 괜찮으나 만족할 수준은 안된다.
지금은 없어졌으나 다시 입사를 하면 잘해볼 자신이 있다.
이만한 밸브회사는 없는거 같아 안타깝다.쩝...."
